,UserId,OrderId,OrderDate,TotalCharges,CommonId,PupId,PickupDate,OrderPeriod,CohortGroup
0,47,262,2009-01-11,50.67,TRQKD,2,2009-01-12,2009-01,2009-01
1,47,278,2009-01-20,26.6,4HH2S,3,2009-01-20,2009-01,2009-01
2,47,294,2009-02-03,38.71,3TRDC,2,2009-02-04,2009-02,2009-01
3,47,301,2009-02-06,53.38,NGAZJ,2,2009-02-09,2009-02,2009-01
4,47,302,2009-02-06,14.28,FFYHD,2,2009-02-09,2009-02,2009-01
5,47,321,2009-02-17,29.5,HA5R3,3,2009-02-17,2009-02,2009-01
6,47,333,2009-02-23,18.91,RSXQG,2,2009-02-23,2009-02,2009-01
7,47,341,2009-03-01,64.41,KHBDJ,3,2009-03-03,2009-03,2009-01
8,47,353,2009-03-09,18.03,T7SUN,3,2009-03-10,2009-03,2009-01
9,47,373,2009-03-17,25.55,KMF5X,3,2009-03-17,2009-03,2009-01
10,47,376,2009-03-17,13.64,R57V3,3,2009-03-19,2009-03,2009-01
11,47,386,2009-03-24,47.83,CSH73,3,2009-03-24,2009-03,2009-01
12,47,398,2009-03-31,42.14,3VYSW,3,2009-03-31,2009-03,2009-01
13,47,431,2009-04-14,21.73,XG5NT,3,2009-04-14,2009-04,2009-01
14,47,441,2009-04-16,21.73,JKME3,3,2009-04-16,2009-04,2009-01
15,47,467,2009-04-23,17.97,WVGR5,3,2009-04-23,2009-04,2009-01
16,47,493,2009-04-28,28.85,ARYQJ,3,2009-04-28,2009-04,2009-01
17,47,494,2009-04-28,7.15,QAM9C,3,2009-04-28,2009-04,2009-01
18,47,517,2009-05-01,57.75,CGHAJ,5,2009-05-01,2009-05,2009-01
19,47,525,2009-05-04,40.98,MCDJE,3,2009-05-05,2009-05,2009-01
20,47,567,2009-05-12,14.93,NPVQQ,3,2009-05-14,2009-05,2009-01
21,47,575,2009-05-14,14.32,2T727,3,2009-05-14,2009-05,2009-01
22,47,598,2009-05-19,40.76,ZNDAZ,3,2009-05-19,2009-05,2009-01
23,47,635,2009-05-26,83.41,V8TCD,3,2009-05-26,2009-05,2009-01
24,47,664,2009-06-01,47.39,N2MN4,3,2009-06-02,2009-06,2009-01
25,47,688,2009-06-05,16.76,SQ7AG,5,2009-06-05,2009-06,2009-01
26,47,720,2009-06-12,26.71,VVJMZ,3,2009-06-16,2009-06,2009-01
27,47,732,2009-06-16,18.66,NHPKJ,3,2009-06-16,2009-06,2009-01
28,47,775,2009-06-23,46.65,YGFQ6,4,2009-06-23,2009-06,2009-01
29,47,828,2009-07-02,20.27,XJMBR,6,2009-07-02,2009-07,2009-01
30,47,838,2009-07-06,44.88,J23JH,3,2009-07-07,2009-07,2009-01
31,47,848,2009-07-08,17.61,%%848,6,2009-07-09,2009-07,2009-01
32,47,878,2009-07-13,23.15,VLQ77,3,2009-07-14,2009-07,2009-01
33,47,916,2009-07-19,71.09,F72ZW,4,2009-07-21,2009-07,2009-01
